name,currency,sale_price,availability_status,product_category,url,author
A Novel Hardcover,USD,10.98,,Books > Literature & Fiction > Genre Fiction,https://www.amazon.com/Valentine-Novel-Elizabeth-Wetmore/dp/0062913263/ref=zg_bs_books_42/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YRhttps://www.amazon.com/Valentine-Novel-Elizabeth-Wetmore/dp/0062913263/ref=zg_bs_books_42/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
School Zone,USD,9.97,"In stock on April 13, 2020.",Books > Children's Books > Growing Up & Facts of Life,https://www.amazon.com/School-Zone-Preschool-Pre-Writing-Pre-Reading/dp/0887431453/ref=zg_bs_books_16/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
My First Toddler Coloring Book,USD,4.37,In Stock.,"Books > Children's Books > Activities, Crafts & Games",https://www.amazon.com/My-First-Toddler-Coloring-Book/dp/1939754984/ref=zg_bs_books_22/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
First Grade Big Fun Workbook,USD,9.38,In Stock.,Books > Children's Books > Growing Up & Facts of Life,https://www.amazon.com/First-Grade-Activity-HighlightsTM-Workbooks/dp/1629798649/ref=zg_bs_books_41/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Karolina P
Untamed Hardcover,USD,16.8,In Stock.,Books > Christian Books & Bibles > Christian Living,https://www.amazon.com/Untamed-Glennon-Doyle-Melton/dp/1984801252/ref=zg_bs_books_5/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Mattie Bartlett
Magnolia Table Vol 2 Hardcover,USD,21,"This title will be released on April 7, 2020.","Books > Cookbooks, Food & Wine > Regional & International",https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/0062820184/ref=zg_bs_books_20/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Michelle B. R.
How to Draw 101 Animals Paperback,USD,4.99,Available to ship in 1-2 days.,"Books > Children's Books > Arts, Music & Photography",https://www.amazon.com/How-Draw-101-Animals-Green/dp/1842297406/ref=zg_bs_books_18/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Jessica Morgan
Calm Down,USD,2.25,Available to ship in 1-2 days.,"Books > Crafts, Hobbies & Home > Crafts & Hobbies",https://www.amazon.com/Calm-Down-Irreverent-Adult-Coloring/dp/1522864741/ref=zg_bs_books_28/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Mattie Bartlett
Scratch and Sparkle Unicorns Activity Book,USD,3.23,In Stock.,"Books > Children's Books > Arts, Music & Photography",https://www.amazon.com/Scratch-Sparkle-Unicorns-Activity-Book/dp/1788432444/ref=zg_bs_books_48/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
Front Row at the Trump Show Hardcover,USD,16.94,Temporarily out of stock. Order now and we'll deliver when available. We'll e-mail you with an estimated delivery date as soon as we have more information. Your account will only be charged when we ship the item. Details,Books > Politics & Social Sciences > Politics & Government,https://www.amazon.com/Front-Row-at-Trump-Show/dp/1524745626/ref=zg_bs_books_24/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
How to Catch a Mermaid Hardcover,USD,5.99,In Stock.,Books > Children's Books > Literature & Fiction,https://www.amazon.com/How-Catch-Mermaid-Adam-Wallace/dp/149266247X/ref=zg_bs_books_10/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Floyd Brown
5000 Awesome Facts About Everything,USD,11.98,In Stock.,Books > Children's Books > Education & Reference,https://www.amazon.com/Awesome-Facts-Everything-National-Geographic/dp/1426310498/ref=zg_bs_books_34/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Kadeen H.
Scissor Skills Preschool Workbook for Kids,USD,1.99,Available to ship in 1-2 days.,"Books > Children's Books > Activities, Crafts & Games",https://www.amazon.com/Scissor-Skills-Preschool-Workbook-Kids/dp/1948209608/ref=zg_bs_books_43/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
How to Catch a Unicorn Hardcover,USD,5.49,In Stock.,Books > Children's Books > Animals,https://www.amazon.com/How-Catch-Unicorn-Adam-Wallace/dp/1492669733/ref=zg_bs_books_19/147-9572115-3188209?_encoding=UTF8&psc=1&refRID=45P9F6MKNPCPTQK243YR,Tanya Lorraine
